t_s,ciclo,ganancia,ch,tap,banco_uv,pp_uv,real_mv_vs_vref,valido,clavado,codigos
732.0,8,16,1,BPo,976705,2603,-493.8,True,False,"11,-30,0,0"
732.5,8,16,2,OPA_SUMo,1056251,447,1090.4,True,False,"11,-30,0,0"
732.9,8,16,3,SUMo,1102066,123,2002.8,True,True,"11,-30,0,0"
733.3,8,16,4,LPo,728559,180,-5435.8,False,True,"11,-30,0,0"
738.2,8,24,0,PGAgain,965032,1677,-726.3,True,False,"11,-30,0,0"
738.7,8,24,1,BPo,979070,2689,-446.7,True,False,"11,-30,0,0"
739.1,8,24,2,OPA_SUMo,1052789,800,1021.5,True,False,"11,-30,0,0"
739.5,8,24,3,SUMo,1101016,104,1981.9,True,True,"11,-30,0,0"
740.0,8,24,4,LPo,727605,152,-5454.8,False,True,"11,-30,0,0"
744.9,8,32,0,PGAgain,969485,1993,-637.6,True,False,"11,-30,0,0"
745.3,8,32,1,BPo,978460,2488,-458.9,True,False,"11,-30,0,0"
745.8,8,32,2,OPA_SUMo,1050777,648,981.4,True,False,"11,-30,0,0"
746.2,8,32,3,SUMo,1101903,133,1999.6,True,True,"11,-30,0,0"
746.6,8,32,4,LPo,728435,161,-5438.3,False,True,"11,-30,0,0"
751.5,8,50,0,PGAgain,966539,2078,-696.3,True,False,"11,-30,0,0"
752.0,8,50,1,BPo,980166,2946,-424.9,True,False,"11,-30,0,0"
752.4,8,50,2,OPA_SUMo,1048555,628,937.1,True,False,"11,-30,0,0"
752.8,8,50,3,SUMo,1101150,95,1984.6,True,True,"11,-30,0,0"
753.3,8,50,4,LPo,727710,171,-5452.7,False,True,"11,-30,0,0"
758.2,9,1,0,PGAgain,979699,2250,-434.2,True,False,"11,-30,0,0"
758.6,9,1,1,BPo,974836,2946,-531.0,True,False,"11,-30,0,0"
759.0,9,1,2,OPA_SUMo,1045484,543,876.0,True,False,"11,-30,0,0"
759.5,9,1,3,SUMo,1044740,562,861.2,True,False,"11,-30,0,0"
